,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,date of arrival
44,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,Offline,0,0,0,60.0,1,Not_Canceled,2017-11-18
45,2,0,0,3,Meal Plan 1,0,Room_Type 1,146,Offline,0,0,0,75.0,0,Not_Canceled,2017-12-29
46,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,73.0,0,Not_Canceled,2017-11-20
47,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104.0,0,Not_Canceled,2018-04-06
48,2,0,0,4,Not Selected,0,Room_Type 1,57,Online,0,0,0,79.2,1,Not_Canceled,2018-11-01
49,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,125.8,2,Not_Canceled,2018-12-29
50,1,0,2,5,Not Selected,0,Room_Type 1,124,Online,0,0,0,87.95,0,Not_Canceled,2018-05-30
51,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,Online,0,0,0,106.0,0,Canceled,2018-04-22
52,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,136.67,1,Not_Canceled,2018-05-16
53,2,0,0,4,Meal Plan 1,0,Room_Type 4,51,Offline,0,0,0,60.0,1,Not_Canceled,2017-11-11
54,2,0,1,0,Not Selected,0,Room_Type 1,13,Online,0,0,0,89.0,2,Not_Canceled,2018-06-13
55,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,136.0,1,Not_Canceled,2018-05-19
56,2,0,0,1,Not Selected,0,Room_Type 1,139,Online,0,0,0,94.5,1,Not_Canceled,2018-07-28
57,2,0,1,2,Meal Plan 1,0,Room_Type 1,117,Online,0,0,0,93.6,2,Not_Canceled,2018-12-26
58,2,0,1,4,Meal Plan 1,0,Room_Type 4,39,Online,0,0,0,120.6,0,Canceled,2018-04-20
59,2,0,0,3,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,99.3,1,Not_Canceled,2018-04-06
60,2,2,0,1,Meal Plan 1,1,Room_Type 6,2,Online,0,0,0,258.0,1,Not_Canceled,2018-09-02
61,1,0,0,3,Meal Plan 1,0,Room_Type 4,19,Online,0,0,0,120.12,2,Not_Canceled,2018-05-03
62,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95.0,0,Not_Canceled,2018-06-24
63,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Complementary,0,0,0,103.42353907649897,1,Not_Canceled,2017-09-10
64,2,0,2,1,Meal Plan 1,0,Room_Type 1,86,Offline,0,0,0,75.0,0,Not_Canceled,2018-12-18
65,2,0,0,3,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,157.5,2,Not_Canceled,2018-10-05
66,2,0,0,2,Meal Plan 1,0,Room_Type 4,179,Online,0,0,0,97.7,1,Not_Canceled,2018-06-03
67,2,0,0,2,Meal Plan 1,0,Room_Type 4,26,Online,0,0,0,142.0,0,Canceled,2018-04-15
68,2,0,0,1,Meal Plan 1,0,Room_Type 1,55,Offline,0,0,0,80.0,0,Not_Canceled,2018-04-06
69,2,0,1,2,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,85.5,1,Not_Canceled,2018-04-25
70,2,0,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,0,0,0,100.0,0,Not_Canceled,2018-08-25
71,2,0,1,0,Not Selected,0,Room_Type 1,34,Online,0,0,0,88.0,2,Not_Canceled,2018-11-14
72,2,0,1,1,Meal Plan 1,1,Room_Type 1,30,Online,0,0,0,122.85,1,Not_Canceled,2018-08-29
73,2,0,0,2,Meal Plan 1,0,Room_Type 1,177,Online,0,0,0,100.0,0,Canceled,2018-06-03
74,2,0,2,3,Meal Plan 1,0,Room_Type 4,34,Offline,0,0,0,75.0,0,Not_Canceled,2017-10-25
75,2,0,1,4,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,116.8,1,Not_Canceled,2018-03-09
76,3,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,0,0,0,121.5,0,Not_Canceled,2018-12-31
77,2,0,1,2,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,111.9,1,Not_Canceled,2018-06-27
78,3,0,2,5,Meal Plan 1,0,Room_Type 4,155,Online,0,0,0,121.55,2,Canceled,2018-06-28
79,2,0,0,5,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,75.0,1,Not_Canceled,2018-03-29
80,2,2,0,2,Meal Plan 1,0,Room_Type 6,83,Online,0,0,0,159.3,0,Canceled,2018-04-01
81,2,0,0,5,Meal Plan 1,0,Room_Type 4,128,Online,0,0,0,132.3,0,Canceled,2018-10-11
82,2,0,2,0,Not Selected,0,Room_Type 1,20,Online,0,0,0,88.0,2,Not_Canceled,2018-12-25
83,2,0,1,4,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,98.82,0,Not_Canceled,2018-03-14
84,2,0,1,2,Meal Plan 1,1,Room_Type 4,46,Online,0,0,0,98.3,1,Not_Canceled,2018-03-04
85,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,150.0,2,Not_Canceled,2018-10-17
86,2,0,2,3,Not Selected,0,Room_Type 1,196,Online,0,0,0,96.05,1,Not_Canceled,2018-09-04
87,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Online,0,0,0,130.0,0,Canceled,2018-06-15
88,2,0,0,1,Not Selected,0,Room_Type 1,17,Online,1,0,5,95.0,0,Not_Canceled,2018-12-10
89,2,0,0,3,Meal Plan 1,0,Room_Type 5,146,Offline,0,0,0,113.56,0,Not_Canceled,2018-08-09
90,2,0,1,3,Not Selected,0,Room_Type 1,110,Online,0,0,0,101.58,1,Not_Canceled,2018-05-05
91,2,0,1,2,Meal Plan 1,1,Room_Type 1,68,Online,0,0,0,105.3,0,Not_Canceled,2018-03-18
92,2,0,2,1,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,115.8,1,Not_Canceled,2018-04-09
93,2,0,0,1,Meal Plan 1,0,Room_Type 4,92,Online,0,0,0,149.4,1,Not_Canceled,2018-05-19
94,2,0,2,5,Meal Plan 1,0,Room_Type 1,171,Online,0,0,0,111.59,0,Canceled,2018-08-30
95,2,1,0,2,Meal Plan 1,1,Room_Type 1,134,Online,0,0,0,130.5,2,Not_Canceled,2018-08-04
96,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Online,0,0,0,115.0,1,Canceled,2018-08-18
97,2,0,0,4,Meal Plan 1,0,Room_Type 1,118,Online,0,0,0,90.95,1,Not_Canceled,2018-04-13
98,2,0,0,3,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,76.08,1,Not_Canceled,2018-11-17
99,2,2,1,3,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,156.9,0,Not_Canceled,2018-12-22
100,2,0,1,0,Not Selected,0,Room_Type 1,189,Online,0,0,0,85.5,2,Not_Canceled,2018-10-23
101,3,0,1,2,Meal Plan 1,0,Room_Type 4,55,Online,0,0,0,159.3,2,Not_Canceled,2018-05-13
102,1,0,0,4,Meal Plan 1,0,Room_Type 1,55,Online,0,0,0,74.8,2,Not_Canceled,2018-12-13
103,2,0,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,95.0,1,Not_Canceled,2017-10-31
104,2,0,0,3,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,107.0,1,Not_Canceled,2017-10-08
105,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,Offline,0,0,0,64.0,0,Not_Canceled,2018-02-16
106,2,0,1,4,Meal Plan 1,1,Room_Type 1,10,Online,0,0,0,82.95,0,Not_Canceled,2017-11-02
107,2,0,1,3,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,155.0,1,Not_Canceled,2017-09-21
108,2,0,0,1,Not Selected,0,Room_Type 1,12,Online,0,0,0,101.68,1,Not_Canceled,2018-06-30
109,2,0,2,1,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,94.5,3,Not_Canceled,2017-09-05
110,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,Online,0,0,0,117.9,2,Canceled,2018-09-30
111,2,0,1,0,Not Selected,0,Room_Type 1,1,Online,0,0,0,127.0,1,Not_Canceled,2018-06-27
112,2,0,0,3,Not Selected,0,Room_Type 1,122,Online,0,0,0,116.1,2,Not_Canceled,2018-06-16
113,2,0,2,3,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,117.9,1,Not_Canceled,2018-06-30
114,2,2,2,2,Meal Plan 1,0,Room_Type 2,116,Online,0,0,0,184.24,1,Canceled,2018-06-26
115,3,0,2,2,Meal Plan 1,1,Room_Type 4,123,Online,0,0,0,155.7,1,Not_Canceled,2018-08-13
116,3,0,2,5,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,135.76,0,Canceled,2018-04-22
117,2,1,2,5,Meal Plan 1,0,Room_Type 1,105,Online,0,0,0,102.83,3,Not_Canceled,2018-11-12
118,2,0,0,1,Meal Plan 1,0,Room_Type 1,443,Online,0,0,0,65.0,0,Canceled,2018-04-29
119,2,0,2,3,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,103.0,1,Not_Canceled,2017-11-14
120,2,0,0,3,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,106.2,1,Canceled,2018-09-01
121,2,0,0,2,Meal Plan 2,0,Room_Type 1,286,Offline,0,0,0,58.5,0,Not_Canceled,2018-09-16
122,2,0,1,3,Meal Plan 1,0,Room_Type 1,68,Online,0,0,0,73.95,0,Canceled,2018-03-10
123,2,0,0,3,Meal Plan 1,0,Room_Type 1,148,Online,0,0,0,105.3,0,Not_Canceled,2018-05-05
124,3,0,2,0,Meal Plan 1,0,Room_Type 4,68,Online,0,0,0,133.2,2,Not_Canceled,2018-04-24
125,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,Offline,0,0,0,85.5,0,Not_Canceled,2018-03-30
126,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,112.0,1,Canceled,2018-11-03
127,2,2,0,2,Meal Plan 1,0,Room_Type 6,110,Online,0,0,0,190.8,0,Canceled,2018-10-14
128,1,0,2,3,Meal Plan 1,0,Room_Type 1,117,Offline,0,0,0,110.0,0,Not_Canceled,2018-06-05
129,2,0,1,4,Meal Plan 1,0,Room_Type 4,85,Online,0,0,0,91.48,1,Not_Canceled,2018-07-13
130,2,0,0,2,Not Selected,0,Room_Type 1,1,Online,0,0,0,135.0,2,Not_Canceled,2018-10-20
131,1,0,1,2,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,129.0,2,Not_Canceled,2018-10-17
132,2,0,2,4,Not Selected,0,Room_Type 1,289,Online,0,0,0,70.55,2,Canceled,2018-12-28
133,2,0,1,4,Meal Plan 1,0,Room_Type 4,28,Offline,0,0,0,75.0,0,Not_Canceled,2017-10-19
134,1,0,0,4,Not Selected,0,Room_Type 1,80,Online,0,0,0,72.25,0,Not_Canceled,2018-03-29
135,2,0,0,1,Meal Plan 1,0,Room_Type 4,11,Online,0,0,0,155.0,2,Not_Canceled,2017-10-09
136,2,1,1,0,Meal Plan 1,0,Room_Type 1,162,Online,0,0,0,121.5,2,Canceled,2018-07-25
137,2,0,2,5,Meal Plan 1,0,Room_Type 1,155,Online,0,0,0,90.95,2,Not_Canceled,2018-06-28
138,1,0,2,2,Meal Plan 1,0,Room_Type 1,82,Online,0,0,0,109.65,0,Not_Canceled,2018-05-22
139,3,0,2,4,Meal Plan 1,0,Room_Type 4,27,Online,0,0,0,142.72,0,Canceled,2018-04-15
140,1,0,1,2,Meal Plan 1,0,Room_Type 1,13,Offline,0,0,0,90.0,0,Not_Canceled,2018-05-09
141,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Online,0,0,0,75.0,0,Canceled,2018-06-17
142,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,111.0,1,Canceled,2018-11-18
143,2,0,2,2,Meal Plan 1,0,Room_Type 1,266,Online,0,0,0,86.7,2,Not_Canceled,2018-10-30
144,2,0,1,0,Meal Plan 1,0,Room_Type 1,39,Online,0,0,0,117.9,1,Not_Canceled,2018-03-28
145,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Complementary,1,3,5,103.42353907649897,1,Not_Canceled,2018-06-01
146,2,0,0,4,Not Selected,0,Room_Type 1,112,Online,0,0,0,101.58,1,Not_Canceled,2018-05-04
147,2,0,1,2,Not Selected,0,Room_Type 1,88,Online,0,0,0,58.9,1,Not_Canceled,2018-04-08
148,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,120.0,0,Not_Canceled,2018-06-08
149,2,0,2,3,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,107.1,0,Canceled,2018-04-07
150,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,126.9,1,Not_Canceled,2018-05-02
151,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,Online,0,0,0,139.5,2,Canceled,2018-09-29
152,2,0,1,3,Not Selected,0,Room_Type 1,69,Online,0,0,0,80.75,1,Not_Canceled,2018-04-04
153,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,Online,0,0,0,109.0,0,Canceled,2017-07-17
154,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104.0,0,Not_Canceled,2018-04-06
155,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,Corporate,1,1,5,65.0,1,Not_Canceled,2018-11-01
156,2,0,0,3,Meal Plan 1,0,Room_Type 4,97,Online,0,0,0,140.4,0,Not_Canceled,2018-05-24
157,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,0,0,0,75.0,0,Not_Canceled,2018-02-17
158,2,0,0,1,Not Selected,0,Room_Type 1,31,Online,0,0,0,94.5,0,Canceled,2018-04-14
159,2,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,109.0,0,Not_Canceled,2018-06-05
160,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,Online,0,0,0,105.0,2,Not_Canceled,2018-11-12
161,2,0,2,2,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,107.95,1,Not_Canceled,2018-04-17
162,3,0,2,2,Meal Plan 1,0,Room_Type 7,3,Online,0,0,0,215.6,1,Not_Canceled,2018-10-07
163,2,0,1,1,Not Selected,0,Room_Type 1,197,Online,0,0,0,85.5,1,Not_Canceled,2018-08-01
164,2,0,0,2,Meal Plan 1,0,Room_Type 1,143,Online,0,0,0,105.3,2,Not_Canceled,2018-07-12
165,1,0,2,1,Meal Plan 2,0,Room_Type 1,23,Online,0,0,0,1.0,0,Not_Canceled,2018-01-02
166,2,0,0,2,Meal Plan 1,0,Room_Type 4,8,Online,0,0,0,156.0,0,Canceled,2018-06-15
167,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,73.15,1,Not_Canceled,2018-11-16
168,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Online,0,0,0,110.0,0,Canceled,2018-09-19
169,2,1,1,0,Not Selected,0,Room_Type 1,11,Online,0,0,0,87.4,1,Not_Canceled,2017-09-13
170,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,120.0,0,Canceled,2018-09-15
171,2,0,1,2,Not Selected,0,Room_Type 1,185,Online,0,0,0,79.2,0,Canceled,2018-12-16
172,2,0,1,3,Meal Plan 1,0,Room_Type 1,160,Online,0,0,0,90.95,1,Not_Canceled,2018-06-30
173,2,0,0,4,Meal Plan 1,0,Room_Type 1,104,Online,0,0,0,91.48,1,Not_Canceled,2018-10-18
174,2,1,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,150.0,1,Canceled,2018-11-05
175,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,89.0,0,Not_Canceled,2018-03-22
176,2,0,1,4,Not Selected,0,Room_Type 1,14,Online,0,0,0,91.43,1,Not_Canceled,2018-08-17
177,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,0,0,0,140.0,0,Not_Canceled,2018-05-20
178,1,1,2,5,Not Selected,0,Room_Type 1,37,Online,0,0,0,87.78,0,Not_Canceled,2017-10-24
179,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,Online,0,0,0,115.0,0,Canceled,2018-07-21
180,2,0,0,3,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,80.85,1,Not_Canceled,2017-09-09
181,2,0,1,3,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,82.45,1,Not_Canceled,2018-03-31
182,2,0,0,1,Not Selected,0,Room_Type 1,109,Online,0,0,0,108.0,0,Canceled,2018-10-11
183,2,0,1,1,Meal Plan 1,0,Room_Type 4,72,Online,0,0,0,96.3,1,Not_Canceled,2018-04-02
184,2,0,1,5,Meal Plan 1,0,Room_Type 1,196,Online,0,0,0,99.45,0,Canceled,2018-08-22
185,2,0,0,2,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,140.4,1,Not_Canceled,2018-05-13
186,2,0,1,3,Meal Plan 1,0,Room_Type 1,189,Offline,0,0,0,72.25,0,Not_Canceled,2018-08-08
187,2,0,1,4,Meal Plan 1,0,Room_Type 4,126,Online,0,0,0,126.0,0,Not_Canceled,2018-08-15
188,2,0,2,3,Meal Plan 1,0,Room_Type 1,303,Online,0,0,0,78.0,0,Canceled,2018-08-19
189,1,0,2,2,Meal Plan 1,0,Room_Type 4,81,Online,0,0,0,146.6,1,Not_Canceled,2018-11-06
190,2,0,1,2,Meal Plan 1,0,Room_Type 1,54,Online,0,0,0,118.8,0,Canceled,2018-10-10
191,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,145.0,0,Canceled,2018-10-06
192,2,0,0,4,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,84.58,0,Canceled,2018-04-06
193,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,Online,0,0,0,130.0,0,Canceled,2018-03-25
194,2,0,2,5,Meal Plan 1,0,Room_Type 4,147,Online,0,0,0,118.88,1,Canceled,2018-08-03
195,2,0,1,2,Meal Plan 1,0,Room_Type 1,92,Offline,0,0,0,101.52,0,Not_Canceled,2018-05-30
196,2,0,0,1,Meal Plan 1,0,Room_Type 1,87,Corporate,0,0,0,100.0,0,Canceled,2017-09-11
197,2,0,2,1,Meal Plan 1,0,Room_Type 1,109,Offline,0,0,0,58.0,0,Not_Canceled,2018-03-20
198,2,0,0,4,Meal Plan 1,0,Room_Type 1,127,Offline,0,0,0,61.5,2,Not_Canceled,2018-03-23
199,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,Online,0,0,0,107.0,0,Canceled,2018-09-26
200,2,0,1,4,Not Selected,0,Room_Type 1,156,Online,0,0,0,87.3,1,Not_Canceled,2018-08-24
201,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,76.5,1,Canceled,2017-07-16
202,2,0,2,2,Not Selected,0,Room_Type 1,211,Online,0,0,0,63.75,0,Canceled,2018-12-16
203,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Online,0,0,0,95.0,0,Canceled,2018-05-13
204,2,0,2,1,Meal Plan 1,0,Room_Type 1,58,Offline,0,0,0,75.0,1,Not_Canceled,2018-11-19
205,2,0,0,3,Meal Plan 1,0,Room_Type 1,433,Online,0,0,0,70.0,0,Canceled,2018-09-08
206,2,0,1,3,Meal Plan 1,0,Room_Type 1,111,Online,0,0,0,101.58,1,Not_Canceled,2018-05-02
207,2,0,2,3,Meal Plan 1,0,Room_Type 1,34,Offline,0,0,0,85.0,0,Not_Canceled,2018-08-21
208,2,0,2,4,Meal Plan 1,0,Room_Type 1,17,Online,0,0,0,98.39,0,Not_Canceled,2018-12-03
209,1,0,0,0,Meal Plan 1,0,Room_Type 1,4,Complementary,0,0,0,103.42353907649897,1,Not_Canceled,2018-02-27
210,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,106.07,1,Not_Canceled,2017-09-22
211,2,0,1,1,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,105.0,1,Not_Canceled,2018-07-18
212,2,0,0,1,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,145.0,2,Not_Canceled,2017-09-22
213,3,0,2,1,Meal Plan 1,0,Room_Type 1,195,Online,0,0,0,106.03,1,Canceled,2018-08-13
214,2,0,2,2,Meal Plan 1,0,Room_Type 1,119,Online,0,0,0,114.3,1,Not_Canceled,2018-08-13
215,1,0,1,1,Not Selected,0,Room_Type 1,13,Online,0,0,0,88.0,0,Not_Canceled,2018-12-05
216,2,0,0,2,Meal Plan 1,0,Room_Type 1,59,Online,0,0,0,89.25,2,Not_Canceled,2017-10-15
217,2,1,2,5,Meal Plan 1,0,Room_Type 4,78,Online,0,0,0,86.32,1,Not_Canceled,2018-03-20
218,2,0,0,3,Meal Plan 1,0,Room_Type 1,335,Offline,0,0,0,90.0,1,Not_Canceled,2018-10-13
219,2,0,2,5,Meal Plan 1,0,Room_Type 1,103,Online,0,0,0,55.96,0,Not_Canceled,2017-08-22
220,1,0,0,2,Not Selected,0,Room_Type 1,0,Online,0,0,0,109.0,1,Not_Canceled,2018-06-08
221,2,0,0,1,Meal Plan 1,0,Room_Type 1,118,Offline,0,0,0,86.0,0,Not_Canceled,2018-03-01
222,2,0,1,5,Meal Plan 1,0,Room_Type 1,56,Online,0,0,0,118.95,0,Not_Canceled,2018-09-05
223,2,0,0,2,Meal Plan 1,0,Room_Type 1,107,Offline,0,0,0,130.0,1,Not_Canceled,2018-06-10
224,2,0,1,3,Not Selected,0,Room_Type 1,70,Online,0,0,0,90.56,1,Not_Canceled,2018-04-14
225,2,0,0,2,Meal Plan 1,0,Room_Type 1,76,Online,0,0,0,87.3,1,Not_Canceled,2018-04-01
226,2,2,2,2,Meal Plan 1,0,Room_Type 6,144,Online,0,0,0,177.65,1,Canceled,2018-05-27
227,1,2,2,2,Meal Plan 1,0,Room_Type 6,4,Online,0,0,0,200.75,2,Not_Canceled,2017-09-19
228,2,1,0,2,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,127.0,1,Not_Canceled,2018-03-18
229,1,0,1,2,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,72.9,0,Canceled,2018-02-05
